,text,label
0,"﻿The Project Gutenberg eBook of After the Manner of Men, by Francis
Lynde

This eBook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever.",0
1,"You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this eBook or online at
www.gutenberg.org.",0
2,"If you are not located in the United States, you
will have to check the laws of the country where you are located before
using this eBook.",0
3,"Title: After the Manner of Men

Authors: Francis Lynde
         Arthur E. Becher

Release Date: October 29, 2021 [eBook #66631]

Language: English

Produced by: D A Alexander, David E. Brown, and the Online Distributed
             Proofreading Team at https://www.pgdp.net (This file was
             produced from images generously made available by The
             Internet Archive)

*** START OF THE PROJECT GUTENBERG EBOOK AFTER THE MANNER OF MEN ***





AFTER THE MANNER OF MEN




BOOKS BY FRANCIS LYNDE

PUBLISHED BY CHARLES SCRIBNER’S SONS


  =After the Manner of Men.= Illus.",0
4,"12mo          _net_ $1.35

  =The Real Man.= Illus.",0
5,"12mo                     _net_ $1.35

  =The City of Numbered Days.= Illus.",0
6,"12mo        _net_ $1.35

  =The Honorable Senator Sage-brush.= 12mo        _net_ $1.30

  =Scientific Sprague.= Illus.",0
7,"12mo               _net_ $1.25

  =The Price.= 12mo                               _net_ $1.30

  =The Taming of Red Butte Western.= Illus.",0
8,"12mo  _net_ $1.35

  =The King of Arcadia.= Illus.",0
9,"12mo              _net_ $1.35

  =A Romance In Transit.= 16mo                    _net_   .75


[Illustration: “Did you really think that some one was shooting at
  _you_?”                                             (_Page 7._)]




  After the Manner
  of Men

  BY
  FRANCIS LYNDE

  _ILLUSTRATED BY_
  ARTHUR E. BECHER

  CHARLES SCRIBNER’S SONS
  NEW YORK::::::::::1916




  COPYRIGHT, 1916, BY
  CHARLES SCRIBNER’S SONS
  Published September, 1916

  [Illustration]




  TO

  JOSEPH FRATER,

  LOYAL FRIEND OF MANY YEARS,
  TO WHOM MUCH OF THE MATERIAL AND ALL OF THE
  ATMOSPHERE OF THE STORY IS OWING

  THIS BOOK

  IS AFFECTIONATELY INSCRIBED,
  WITH GRATEFUL ACKNOWLEDGEMENTS FROM
  THE AUTHOR




CONTENTS


  CHAPTER                                 PAGE

       I.",0
10,"THE TOWNLANDER                     1

      II.",0
11,"THE SOW’S EAR                     16

     III.",0
12,"THE GOLDEN YOUTH                  30

      IV.",0
